Lokasi,Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Latitude,Longitude,Kondisi_Biner,geometry,index_right,Kecamatan_Final
"Puspa, Ds. Wakaf Kec. Bantarkalong",-7.520229 108.084697,Baik,PJU Konvensional,Tiang Stang,Mercury,-7.520229,108.084697,0,POINT (108.084697 -7.520229),7.0,Bantarkalong
"Puspa, Ds. Wakaf Kec. Bantarkalong",-7.522890 108.084678,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.52289,108.084678,0,POINT (108.084678 -7.52289),7.0,Bantarkalong
"Cibiru, Ds. Wakaf Kec. Bantarkalong",-7.529602 108.083917,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.529602,108.083917,0,POINT (108.083917 -7.529602),7.0,Bantarkalong
"Leuwinanggung, Ds. Sukamaju, Kec. Bantarkalong",-7.537505 108.092379,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.537505,108.092379,0,POINT (108.092379 -7.537505),7.0,Bantarkalong
"Datarrandu, Ds. Sukamaju, Kec. Bantarkalong",-7.537466 108.092989,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.537466,108.092989,0,POINT (108.092989 -7.537466),7.0,Bantarkalong
"Pugeran, Ds. Sukamaju, Kec. Bantarkalong",-7.537003 108.092675,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.537003,108.092675,0,POINT (108.092675 -7.537003),7.0,Bantarkalong
"Koleberes, Ds. Sukamaju, Kec. Bantarkalong",-7.536890 108.090607,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.53689,108.090607,0,POINT (108.090607 -7.53689),7.0,Bantarkalong
"Pugeran, Ds. Sukamaju, Kec. Bantarkalong",-7.539120 108.093774,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.53912,108.093774,0,POINT (108.093774 -7.53912),7.0,Bantarkalong
"Sukamaju, Ds. Sukamaju, Kec. Bantarkalong",-7.539768 108.093674,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.539768,108.093674,0,POINT (108.093674 -7.539768),7.0,Bantarkalong
"Pugeran, Ds. Sukamaju, Kec. Bantarkalong",-7.539820 108.093362,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.53982,108.093362,0,POINT (108.093362 -7.53982),7.0,Bantarkalong
