No;Lokasi;Kecamatan_Baru;Titik Koordinat;Lokasi Pemasangan;Kondisi;Jenis PJU;Jenis Tiang;Jenis Lampu
1;Puspa, Ds. Wakaf Kec. Bantarkalong;Bantarkalong;-7.520229 108.084697;Kanan;Baik;PJU Konvensional;Tiang Stang;Mercury
2;Puspa, Ds. Wakaf Kec. Bantarkalong;Bantarkalong;-7.522890 108.084678;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
3;Cibiru, Ds. Wakaf Kec. Bantarkalong;Bantarkalong;-7.529602 108.083917;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
4;Leuwinanggung, Ds. Sukamaju, Kec. Bantarkalong;Bantarkalong;-7.537505 108.092379;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
5;Datarrandu, Ds. Sukamaju, Kec. Bantarkalong;Bantarkalong;-7.537466 108.092989;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
6;Pugeran, Ds. Sukamaju, Kec. Bantarkalong;Bantarkalong;-7.537003 108.092675;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
7;Koleberes, Ds. Sukamaju, Kec. Bantarkalong;Bantarkalong;-7.536890 108.090607;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
8;Pugeran, Ds. Sukamaju, Kec. Bantarkalong;Bantarkalong;-7.539120 108.093774;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
9;Sukamaju, Ds. Sukamaju, Kec. Bantarkalong;Bantarkalong;-7.539768 108.093674;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
10;Pugeran, Ds. Sukamaju, Kec. Bantarkalong;Bantarkalong;-7.539820 108.093362;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
11;Hegarwangi, Ds. Hegarwangi, Kec. Bantarkalong;Bantarkalong;-7.628215 108.110919;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
