Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Kecamatan,Kondisi_Biner,Latitude,Longitude,index_right,Kecamatan_Final
-7.520229 108.084697,Baik,PJU Konvensional,Tiang Stang,Mercury,Bantarkalong,0,-7.520229,108.084697,7.0,Bantarkalong
-7.522890 108.084678,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.52289,108.084678,7.0,Bantarkalong
-7.529602 108.083917,Baik,PJU Solar Cell,Tiang Tunggal,LED,Bantarkalong,0,-7.529602,108.083917,7.0,Bantarkalong
-7.537505 108.092379,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.537505,108.092379,7.0,Bantarkalong
-7.537466 108.092989,Baik,PJU Solar Cell,Tiang Tunggal,LED,Bantarkalong,0,-7.537466,108.092989,7.0,Bantarkalong
-7.537003 108.092675,Baik,PJU Solar Cell,Tiang Tunggal,LED,Bantarkalong,0,-7.537003,108.092675,7.0,Bantarkalong
-7.536890 108.090607,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.53689,108.090607,7.0,Bantarkalong
-7.539120 108.093774,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Bantarkalong,0,-7.53912,108.093774,7.0,Bantarkalong
-7.539768 108.093674,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.539768,108.093674,7.0,Bantarkalong
-7.539820 108.093362,Baik,PJU Solar Cell,Tiang Tunggal,LED,Bantarkalong,0,-7.53982,108.093362,7.0,Bantarkalong
-7.628215 108.110919,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.628215,108.110919,7.0,Bantarkalong
-7.6219029 108.1111577,Baik,PJU Solar Cell,Tiang Tunggal,LED,Bantarkalong,0,-7.6219029,108.1111577,7.0,Bantarkalong
-7.621710 108.109041,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.62171,108.109041,7.0,Bantarkalong
-7.623263 108.105920,Baik,PJU Solar Cell,Tiang Tunggal,LED,Bantarkalong,0,-7.623263,108.10592,7.0,Bantarkalong
-7.620125 108.110967,Baik,PJU Solar Cell,Tiang Tunggal,LED,Bantarkalong,0,-7.620125,108.110967,7.0,Bantarkalong
-7.6236828 108.1060444,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.6236828,108.1060444,7.0,Bantarkalong
-7.6234618 108.1061289,Rusak Ringan,PJU Konvensional,Tiang Stang,SON T,Bantarkalong,1,-7.6234618,108.1061289,7.0,Bantarkalong
-7.624030 108.106841,Baik,PJU Konvensional,Tiang Tunggal,SON T,Bantarkalong,0,-7.62403,108.106841,7.0,Bantarkalong
